character,medium,category,week number,mood,message,sender
Jessie,Text,Academic,0,Positive,see you in num comp :))),imani
Jessie,Email,Extracurricular,0,Positive,"Hi All, Get excited for our first meeting...",HPI Chronicle
Jessie,Text,Social,0,Positive,Thanks 4 helping me w the planner <3,peter <3
Jessie,Text,Academic,1,Positive,Jessie you're gonna make the curve on this test so hard :'),STUDY SQUAD
Jessie,Text,Extracurricular,1,Positive,"Love your proposal, we'll talk more soon!",chief editor
Jessie,Text,Social,1,Positive,Me too :) Love you,peter <3
Jessie,Text,Academic,1,Negative,jessie LOCK IN!,STUDY SQUAD
Jessie,Text,Extracurricular,1,Negative,I know it's a big commitment. Keep me posted.,chief editor
Jessie,Text,Social,1,Negative,We'll do smt next week,peter <3
Jessie,Text,Academic,2,Positive,grades are in we got a 98!,imani
Jessie,Email,Extracurricular,2,Positive,Thanks editors for all your hard work this...,HPI Chronicle
Jessie,Text,Social,2,Positive,Glad we made it work this week,peter <3
Jessie,Text,Academic,2,Negative,grades are in... :(,imani
Jessie,Text,Extracurricular,2,Negative,I need more from you this week,chief editor
Jessie,Text,Social,2,Negative,I wish we could see each other more,peter <3
Jessie,Text,Academic,3,Positive,teach me ur ways jess :0,STUDY SQUAD
Jessie,Text,Extracurricular,3,Positive,Your feature is this week's front page. Good work.,chief editor
Jessie,Text,Social,3,Positive,Same lol good luck this week,peter <3
Jessie,Text,Academic,3,Negative,Midterms are coming up it might be over for us,STUDY SQUAD
Jessie,Text,Extracurricular,3,Negative,Is your feature finished???,chief editor
Jessie,Text,Social,3,Negative,We'll figure it out.,peter <3
Jessie,Email,Academic,4,Positive,"Jessie, You have been an invaluable member of...",Research Invitation
Jessie,Email,Extracurricular,4,Positive,"If you are receiving this email, you have been...",Chief Editor Nominations
Jessie,Text,Social,4,Positive,I love you <3,peter <3
Jessie,Text,Academic,4,Negative,TA told me u have a B rn??,imani
Jessie,Text,Extracurricular,4,Negative,I need you to take a step back from the paper.,chief editor
Jessie,Text,Social,4,Negative,I'm sorry Jessie.,peter <3
Peter,Email,Academic,0,Positive,"Hello students, If you are receiving this email...",Academic Probation Reminder
Peter,Text,Extracurricular,0,Positive,Get excited for our first practice at...,Coach
Peter,Text,Social,0,Positive,no prob! good luck with ur classes,Jessiebear:)
Peter,Email,Academic,1,Positive,"Peter, Good job this week. Keep it up and...",Academic Advisor
Peter,Text,Extracurricular,1,Positive,Why's Pete the goat,HPI soccer gc
Peter,Text,Social,1,Positive,glad we're back on campus together :),Jessiebear:)
Peter,Email,Academic,1,Negative,"Peter, If you can't keep up with classes already...",Academic Advisor
Peter,Text,Extracurricular,1,Negative,First week and Pete's nowhere to be found lol,HPI soccer gc
Peter,Text,Social,1,Negative,yeah...,Jessiebear:)
Peter,Email,Academic,2,Positive,"Peter, Keep going. You did great this week.",Academic Advisor
Peter,Text,Extracurricular,2,Positive,Good effort this week Pete. ,Coach
Peter,Text,Social,2,Positive,same <33333,Jessiebear:)
Peter,Email,Academic,2,Negative,"Peter, I know you can turn this around.",Academic Advisor
Peter,Text,Extracurricular,2,Negative,What's going on with you Pete?,Coach
Peter,Text,Social,2,Negative,ik it's just been so crazy recently,Jessiebear:)
Peter,Email,Academic,3,Positive,"Peter, You're on track to be off probation if...",Academic Advisor
Peter,Text,Extracurricular,3,Positive,Guys be more like Peter,HPI soccer gc
Peter,Text,Social,3,Positive,behind on other stuff but it was worth it to see u lol,Jessiebear:)
Peter,Email,Academic,3,Negative,URGENT MSG: A professor has expressed...,Academic Standing Alert
Peter,Text,Extracurricular,3,Negative,Oooh Pete's gonna be in trouble,HPI soccer gc
Peter,Text,Social,3,Negative,how do ppl maintain this...,Jessiebear:)
Peter,Email,Academic,4,Positive,"Peter R, Well done on maintaining your grades...",Student Success Office
Peter,Text,Extracurricular,4,Positive,How would you feel about being a captain?,Coach
Peter,Text,Social,4,Positive,happy 2 years!! love you <3,Jessiebear:)
Peter,Email,Academic,4,Negative,"Peter R, We regret to inform you that your grades...",Student Success Office
Peter,Text,Extracurricular,4,Negative,We need to talk about your future on this team.,Coach
Peter,Text,Social,4,Negative,i think we need to take a break this semester,Jessiebear:)
